Monument,Adresse,Longitude,Latitude,Source
Loge Maconnique,11 rue du Maréchal Joffre,7.757258,48.587225,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00125227
Lycee International Pontonniers,1 rue des Pontonniers,7.7565,48.584173,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA67000059
Maison,2 rue de l'Abreuvoir,7.760122,48.578793,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085070
Maison,3 rue de l'Ail,7.746786,48.579659,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085071
Maison,7 rue de l'Ail,7.747419,48.579695,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085072
Maison,"12 rue de l'Ail
(maison détruite)",7.747055,48.579383,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085073
Maison,17 rue de l'Ail,7.748647,48.580028,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085074
Maison,19 rue de l'Ail,7.748758,48.580014,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085075
Maison,5 rue d'Austerlitz,7.752122,48.578791,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085076
Maison,"25 rue du Bain aux Plantes
1 rue des Meuniers",7.741665,48.581623,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085145
Maison,"27 rue du Bain aux Plantes
2 rue des Meuniers",7.741874,48.581547,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085146
Maison,29 rue du Bain aux Plantes,7.741945,48.581536,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085078
Maison,31 rue du Bain aux Plantes,7.742012,48.581495,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085079
Maison,33 rue du Bain aux Plantes,7.74214,48.581444,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085080
Maison,"40 rue du Bain aux Plantes
1 rue des Moulins",7.741669,48.581518,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085081
Maison,23 quai des Bateliers,7.753787,48.580639,http://www.culture.gouv.fr/public/mistral/merimee_fr?ACTION=CHERCHER&FIELD_1=REF&VALUE_1=PA00085084
